[ # ] backend.content test-size ticks-per-ms time(ticks) ...
[*] xlib.rgba swfdec-youtube.0 1e+06 12633534586 12638154273 12656154860
[*] xlib.rgba gvim.0 1e+06 10849388078 10789304925 10841525075
[*] xlib.rgba xfce4-terminal-a1.0 1e+06 14239571785 14219379001 14253520680
[*] xlib.rgba evolution.0 1e+06 9656474527 10488001393 9615593676
[*] xlib.rgba firefox-canvas.0 1e+06 406622669266 405701240873 405950713872
[*] xlib.rgba firefox-particles.0 1e+06 404571000925 401391325288 401642202200
[*] xlib.rgba firefox-fishbowl.0 1e+06 619000802788 617002007677 616788767176
[*] xlib.rgba poppler.0 1e+06 11751819045 10731107471 10711729076
[*] xlib.rgba firefox-talos-gfx.0 1e+06 86104497761 81916871349 82285845443
[*] xlib.rgba midori-zoomed.0 1e+06 11168078585 10876671034 10887957025
[*] xlib.rgba firefox-talos-svg.0 1e+06 143673062666 140664949825 140520758763
[*] xlib.rgba firefox-canvas-alpha.0 1e+06 218213785620 217066143041 217623818457
[*] xlib.rgba poppler-reseau.0 1e+06 3382859584 2923970447 2926439675
[*] xlib.rgba grads-heat-map.0 1e+06 1344742232 1180615621 1179905804
[*] xlib.rgba firefox-paintball.0 1e+06 451975183825 451196210331 451100206607
[*] xlib.rgba gnome-terminal-vim.0 1e+06 21182647167 20764377777 20744512617
[*] xlib.rgba swfdec-giant-steps.0 1e+06 8852919873 8729479375 8732348872
[*] xlib.rgba firefox-planet-gnome.0 1e+06 44889951531 43669424108 43573164742
[*] xlib.rgba firefox-asteroids.0 1e+06 23254837932 22418999003 22343703839
[*] xlib.rgba gnome-system-monitor.0 1e+06 12200263088 11960112423 11982863499
[*] xlib.rgba firefox-fishtank.0 1e+06 391857003019 390768500767 391358073436
