[ # ] backend.content test-size ticks-per-ms time(ticks) ...
[ # ] image: pixman 0.25.2
[*] image.rgba poppler.0 1e+06 22126190185 17213043212 17318908691
[*] image.rgba xfce4-terminal-a1.0 1e+06 32353973388 31216949463 31208221435
[*] image.rgba gnome-system-monitor.0 1e+06 26282501221 26254699707 26254821778
[*] image.rgba firefox-paintball.0 1e+06 463267364502 460595214844 463284057617
[*] image.rgba firefox-canvas.0 1e+06 205055877685 201676605225 201799652100
[*] image.rgba firefox-asteroids.0 1e+06 55288146972 50694366455 50715148926
[*] image.rgba evolution.0 1e+06 24506896973 22132598877 22053955078
[*] image.rgba firefox-fishtank.0 1e+06 360960693359 356541839600 354871124267
[*] image.rgba swfdec-giant-steps.0 1e+06 10229644776 9657043457 9644927979
[*] image.rgba firefox-talos-gfx.0 1e+06 82163360596 78362762452 78458221436
[*] image.rgba midori-zoomed.0 1e+06 18059783936 16994079590 16989715576
[*] image.rgba firefox-canvas-alpha.0 1e+06 341920593262 339376098633 338666412353
[*] image.rgba firefox-planet-gnome.0 1e+06 94552673339 89702850342 89792541504
[*] image.rgba firefox-particles.0 1e+06 764859924316 758141204834 753325439453
[*] image.rgba grads-heat-map.0 1e+06 2112243653 1502868653 1477355957
[*] image.rgba gvim.0 1e+06 34191101074 31032775879 31453063965
[*] image.rgba firefox-talos-svg.0 1e+06 503117919922 490200378418 489862548828
[*] image.rgba swfdec-youtube.0 1e+06 35960754395 34496704102 34584381103
[*] image.rgba gnome-terminal-vim.0 1e+06 33733276367 32103149414 32355865479
[*] image.rgba firefox-fishbowl.0 1e+06 958031768799 952556701660 952199066162
[*] image.rgba poppler-reseau.0 1e+06 4781219483 4208679199 4217498779
