[ # ] backend.content test-size ticks-per-ms time(ticks) ...
[*] xlib.rgba firefox-asteroids.0 1e+06 31030254120 29391378240 30853317540
[*] xlib.rgba gnome-system-monitor.0 1e+06 19242914380 19132629040 19680087400
[*] xlib.rgba firefox-fishbowl.0 1e+06 625365413040 622692309160 622184527700
[*] xlib.rgba xfce4-terminal-a1.0 1e+06 18974179640 18912643700 18902623160
[*] xlib.rgba grads-heat-map.0 1e+06 901093440 876254060 871782820
[*] xlib.rgba firefox-talos-gfx.0 1e+06 93817460820 93971323960 93214337340
[*] xlib.rgba gvim.0 1e+06 9182200180 8472339100 8490428400
[*] xlib.rgba midori-zoomed.0 1e+06 15966817600 15501765640 15562754560
[*] xlib.rgba firefox-canvas-alpha.0 1e+06 230568078860 230684039960 231712000600
[*] xlib.rgba evolution.0 1e+06 52214152640 52150809840 51016050660
[*] xlib.rgba firefox-canvas.0 1e+06 486457202840 485910431140 493076518000
[*] xlib.rgba firefox-fishtank.0 1e+06 386781013080 386169791140 386100490280
[*] xlib.rgba poppler.0 1e+06 20411074980 18424715140 18226277040
[*] xlib.rgba swfdec-youtube.0 1e+06 19525153080 19446312360 19394691900
[*] xlib.rgba firefox-talos-svg.0 1e+06 207041961720 205094723820 206943577040
[*] xlib.rgba firefox-planet-gnome.0 1e+06 57715785220 55730820360 63529983480
[*] xlib.rgba firefox-paintball.0 1e+06 365073861320 365159367520 365573556740
[*] xlib.rgba gnome-terminal-vim.0 1e+06 16095904240 16854590360 15142795100
[*] xlib.rgba firefox-particles.0 1e+06 451750602060 451573729520 451503769420
[*] xlib.rgba swfdec-giant-steps.0 1e+06 13620869460 13516754160 13506803700
[*] xlib.rgba poppler-reseau.0 1e+06 2951767740 2438796640 2437834020
